File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\TimersView.xaml.cs,38,34,23,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\VariableView.xaml.cs,119,103,58,12,16,1,0,19,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\Simulators\WayneSimView.xaml.cs,39,36,25,1,3,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\AssemblyInfo.cs,58,19,5,0,11,2,28,208,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\AutomationManager.cs,235,140,108,11,30,1,65,171,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\StartUp.cs,15,13,7,0,2,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\ActionBase.cs,83,66,47,4,17,3,0,4,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\AutoItUiAction.cs,85,72,41,8,13,8,0,8,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\ConditionAction.cs,108,59,33,3,13,6,36,88,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\DateTimeAction.cs,133,111,63,13,21,8,1,18,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\DictionaryAction.cs,177,150,88,21,27,10,0,10,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\EmailAction.cs,66,54,36,0,12,5,0,5,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\EnvironmentVariable.cs,75,62,37,4,12,6,1,10,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\FileAction.cs,167,135,74,21,24,4,8,26,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\ListAction.cs,204,152,89,24,33,11,19,82,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\MessageAction.cs,76,64,38,4,11,4,1,6,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\PingAction.cs,70,58,37,2,12,6,0,6,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RunProgram.cs,150,103,61,7,23,6,24,108,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\ScriptAction.cs,231,74,45,5,36,4,121,388,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SftpAction.cs,163,125,81,16,26,12,12,148,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SleepAction.cs,120,82,52,4,17,0,21,72,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SqliteAction.cs,107,83,53,8,19,8,5,47,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SwitchAction.cs,94,77,50,6,14,6,3,18,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SystemAction.cs,73,62,35,5,11,1,0,1,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\TableAction.cs,267,227,133,37,40,12,0,12,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\TextManipulationAction.cs,548,434,247,58,77,8,37,149,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\TimersAction.cs,133,116,67,13,17,2,0,2,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\VariablesAction.cs,601,519,309,62,74,7,8,78,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\GuiAutomation\WaynPump.cs,156,131,78,20,25,12,0,12,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Lable\Copy of LableAction.cs,68,44,23,3,11,1,13,37,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Lable\LableAction.cs,162,106,59,9,26,2,30,107,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RS232\AbstractSerialCommunication.cs,190,161,101,27,27,3,2,22,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RS232\MotorController.cs,301,255,152,44,35,21,11,202,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RS232\RelayControlAction.cs,188,150,86,20,28,6,10,71,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RS232\Rs232Action.cs,186,133,70,11,27,28,26,109,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RS232\Rs232Obj.cs,100,69,48,8,12,3,19,60,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SSH\SshAction.cs,144,123,67,13,21,10,0,10,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SSH\SshObj.cs,430,223,144,20,71,3,136,332,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Telent\Horison80PowerSupplyAction.cs,173,147,84,27,25,11,1,32,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Telent\ServerComAction.cs,274,118,73,12,44,9,112,289,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Telent\TelentAction.cs,118,99,57,12,19,8,0,8,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Telent\TelnetObj.cs,595,415,254,60,69,4,111,670,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\ActionFactory.cs,135,105,68,31,30,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\ActionHandler.cs,238,177,112,29,46,8,15,112,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\AutoItGuiAutomationObj.cs,111,97,61,21,12,2,2,30,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\FileHandler.cs,267,215,140,46,38,15,14,325,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\FlowHandler.cs,68,28,14,4,8,0,32,87,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\SavedData.cs,207,135,69,16,57,4,15,85,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\ServerCommunication.cs,167,121,71,16,21,1,25,58,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\TcpListener.cs,157,112,74,11,25,0,20,92,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities\ScriptObj.cs,257,211,132,34,32,5,14,144,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities\StepEntity.cs,87,74,46,5,13,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities\TestEntity.cs,83,67,47,4,12,0,4,26,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities\TestObj.cs,72,62,41,9,7,0,3,18,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities\TestSuite.cs,139,100,66,13,20,0,19,85,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities\TestSuiteEntity.cs,65,55,40,3,10,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Reports\HtmlReportGenerator.cs,272,223,154,33,40,9,9,82,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Reports\IReportGenerator.cs,7,7,3,0,0,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Reports\ReportManager.cs,18,15,7,1,2,0,1,4,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Properties\AssemblyInfo.cs,34,13,2,0,4,0,17,120,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Properties\Resources.Designer.cs,98,38,20,4,10,1,50,198,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\AppSettings.cs,104,76,59,3,24,0,4,11,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\AutoApp.cs,15,14,6,0,1,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\AutoLogger.cs,324,178,107,6,40,1,106,296,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\BreakpointObj.cs,92,78,42,4,13,0,1,4,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\ClientReportMailBox.cs,54,44,29,3,9,3,1,19,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\CommonHelper.cs,327,274,170,41,41,2,12,77,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\Enums.cs,50,48,5,0,2,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\ICommunication.cs,76,56,32,1,20,1,0,5,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\Singleton.cs,80,56,29,5,9,0,15,68,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\StaticFields.cs,34,28,22,0,2,1,4,37,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\Properties\AssemblyInfo.cs,34,13,2,0,4,0,17,120,0,0
