05-May-15 04:06:40 PM,temp,Pass,0
05-May-15 04:07:45 PM,temp,Pass,0
10-May-15 10:45:53 AM,temp,Pass,1
10-May-15 10:45:55 AM,temp,Pass,1
10-May-15 10:45:57 AM,temp,Pass,1
10-May-15 10:47:08 AM,temp,Pass,1
10-May-15 10:47:14 AM,temp,Pass,1
10-May-15 10:47:20 AM,temp,Pass,1
10-May-15 10:58:17 AM,temp,Fail,-2147483648
10-May-15 10:58:28 AM,temp,Fail,1
10-May-15 10:58:37 AM,temp,Fail,1
10-May-15 10:58:39 AM,temp,Fail,1
10-May-15 10:58:41 AM,temp,Fail,1
10-May-15 10:58:43 AM,temp,Fail,1
10-May-15 11:00:51 AM,temp,Fail,-2147483648
10-May-15 02:34:24 PM,temp,Fail,-2147483648
11-May-15 01:48:30 PM,temp,Pass,0
11-May-15 04:08:36 PM,temp,Pass,0
11-May-15 04:09:15 PM,temp,Fail,-2147483648
11-May-15 04:09:41 PM,temp,Pass,0
11-May-15 04:25:43 PM,temp,Pass,1
11-May-15 04:26:46 PM,temp,Fail,-2147483648
11-May-15 04:30:28 PM,temp,Fail,-2147483648
11-May-15 04:30:55 PM,temp,Pass,0
11-May-15 04:40:36 PM,temp,Fail,-2147483648
11-May-15 04:41:11 PM,temp,Fail,-2147483648
11-May-15 04:42:08 PM,temp,Fail,-2147483648
11-May-15 04:42:30 PM,temp,Fail,-2147483648
11-May-15 04:42:58 PM,temp,Fail,-2147483648
11-May-15 04:43:20 PM,temp,Fail,-2147483648
11-May-15 04:43:30 PM,temp,Fail,-2147483648
11-May-15 04:46:01 PM,temp,Fail,-2147483648
11-May-15 04:47:17 PM,temp,Pass,77
11-May-15 04:49:22 PM,temp,Pass,0
11-May-15 05:14:08 PM,temp,Pass,0
11-May-15 05:42:47 PM,temp,Pass,0
08-Jun-15 02:39:11 PM,temp,Pass,22
08-Jun-15 03:10:09 PM,temp,Pass,0
08-Jun-15 03:10:32 PM,temp,Pass,0
08-Jun-15 03:30:15 PM,temp,Pass,0
